text,label
"Moong Ki Khichdi RecipeDelicious and low calorie meal, enjoy this amazing combination of low calorie food in your lunch or in your dinner. To balance the quantity of fiber in our body, Whole Green Moong Khichdi is the perfect option with this delicious Palak Ki Kadhi. Kadhi is a spicy dish whose thick gravy is based on Gram flour (Besan) and contains vegetable fritters called Pakoras, to which sour yogurt is added to give it a little sour taste. Serve Moong Ki Khichdi with   for a light and healthy meal. You can also try other Khichdi recipes such as Green Moong Dal (Whole)|Basmati rice|Chana dal (Bengal Gram Dal)|Yellow Moong Dal (Split)|Mixed vegetables|Cloves (Laung)|Cumin seeds (Jeera)|Mustard seeds|Turmeric powder (Haldi)|Red Chilli powder|Salt|Coriander (Dhania) Leaves",1
"Nobody can do everything, but everybody can do something.",0
"As we are liberated from our own fear, our presence automatically liberates others.",0
"Life is really simple, but we insist on making it complicated.",0
"Being in humaneness is good. If we select other goodness and thus are far apart from humaneness, how can we be the wise?",0
"The moment one gives close attention to anything, even a blade of grass, it becomes a mysterious, awesome, indescribably magnificent world in itself.",0
Tension is who you think you should be. Relaxation is who you are.,0
"Masala Lachha Paratha Recipe a classic Indian Layered Flat bread that is most often made with maida (all-purpose flour). This recipe of Lachha Paratha is healthy and is made from whole wheat flour. Lachha Paratha is quite popular in North India and you can find them in most restaurants. The signature layers of the lachha paratha is achieved by rolling the atta dough into a circle. Adding ghee on the rolled paratha and then pleating it like an accordion and bringing the layers back into a ball and finally rolling them. The layers in the paratha, gives it a crisp touch and also makes Masala Lachha Paratha a great bread to serve with gravy dishes. We have added some masala mixed with ghee to add a different flavor and texture to the Lachha paratha. Serve the Whole Wheat Lachha Paratha along with  ,  or your favorite Vegetarian Gravy for a weeknight dinner or even for breakfast along with a chutney. If you are looking for more Paratha recipes here are some :Whole Wheat Flour|Coriander Powder (Dhania)|Red Chilli powder|Turmeric powder (Haldi)|Salt|Sunflower Oil|Water",1
"Asian Style Mixed Fried Rice RecipeAsian Style Mixed Fried Rice is a quick recipe of rice tossed with sauces and veggies. The sauces used in this recipe are all present in our kitchen pantry and all you need to do is assemble everything to get delicious spicy Thai meal on your table. The best part is you can make this with left over steamed rice. Any of your favourite veggies can be used to make this Asian style mixed fried rice, an egg can also be used along with the veggies. Serve Asian Style Mixed Fried Rice with   and  . If you like this recipe, you can also try  ,   and  .Rice|Carrot (Gajjar)|Sweet corn|Green Bell Pepper (Capsicum)|Spring Onion Greens|Spring Onion (Bulb & Greens)|Garlic|Roasted Peanuts (Moongphali)|Peanut Butter|Rice Vinegar|Salt|Black pepper powder|Sesame (Gingelly) Oil",1
"In a controversy the instant we feel anger we have already ceased striving for the truth, and have begun striving for ourselves.",0
The wisest men follow their own direction.,0
"Everyone has been made for some particular work, and the desire for that work has been put in every heart.",0
"If you break your neck, if you have nothing to eat, if your house is on fire, then you got a problem. Everything else is inconvenience.",0
"Life a culmination of the past, an awareness of the present, an indication of the future beyond knowledge, the quality that gives a touch of divinity to matter.",0
"Thouthe Kodel Recipe (Mangalore Southekayi Curry)Thouthe Kodel Recipe is a very traditional Mangalorean recipe that is made from a special cucumber that is available in Karnataka. The ThoutheKodelis supposed to have a rich red color that it gets from the drybyadgi red chillies, but you can use regular dry red chillies as well, like I did. By using the regular red chillies, the color of the curry will not be rich red. The curry also gets its full-bodied flavor from the roasted condiments like fenugreek, coriander, cumin that isground along with garlic and coconut making the ThoutheKodelrich, flavorful and delicious. Explore the Mangalorean cuisine with these recipesMangalorean cucumber|Arhar dal (Split Toor Dal)|Turmeric powder (Haldi)|Salt|Sunflower Oil|Coriander (Dhania) Seeds|Cumin seeds (Jeera)|Methi Seeds (Fenugreek Seeds)|White Urad Dal (Split)|Whole Black Peppercorns|Fresh coconut|Dry Red Chillies|Garlic|Sunflower Oil|Mustard seeds|White Urad Dal (Split)|Dry Red Chillies|Garlic|Curry leaves",1
"    - Cauliflower Soup Recipe,                    .           .                      ,      ,|||| ||  |||  | ",1
Obstacles are those things you see when you take your eyes off the goal.,0
"Instant Masala Beans Idli RecipeInstant Masala Beans Idli Recipe is an interesting fortified option of idli, the popular South Indian breakfast. Whats more? These Masala Beans Idli are quick and instant to make, too! Have these steamed Instant Masala Beans Idli recipe for breakfast along with  ,   or   and   for breakfast or during tea time. You can also serve these for unexpected guests. If you like this recipe, take a look at the unique idli recipes :Sooji (Semolina/ Rava)|Sunflower Oil|Green beans (French Beans)|Kala jeera|Enos fruit salt|Salt|Mustard seeds|Asafoetida (hing)|Ginger|White Urad Dal (Split)",1
What we achieve inwardly will change outer reality.,0
"     - Carrot Semolina Phirni (Recipe In Hindi)                                          ,                           .                       ,       |||| |||",1
He that respects himself is safe from others; he wears a coat of mail that none can pierce.,0
Greek Style Kolokithokeftedes Recipe -Zucchini Fritters RecipeGreek Style Kolokithokeftedes Recipe is a simple patty made from grated Zucchini and paneer. It is then packed with simple herbs like mint and spring onions. The fritter is pan fried till it is crispy on the outside and soft inside. This mixture can be made and kept up for three days and can be used whenever necessary for a quick snack. Serve the Greek Style Kolokithokeftedes Recipe (Squash Fritters Recipe) as a Part Appetizer or just as Tea Time Snack along with and a meal made up of and . If you are looking for more Zucchini recipes here are some : Yellow Zucchini|Nutmeg|Spring Onion (Bulb & Greens)|Mint Leaves (Pudina)|Instant Oats (Oatmeal)|Flax seed powder (flax meal)|Whole Wheat Bread crumbs|Salt and Pepper|Extra Virgin Olive Oil,1
"Look back over the past, with its changing empires that rose and fell, and you can foresee the future, too.",0
"Tangy Red Purifier - Tomato Beetroot Juice RecipeThis Healthy Fresh juice is a delicious Tangy Red Purifier, filled with the goodness of beetroot, tomatoes, cucumber, ginger, lemon and coriander leaves. This juice is rich in antioxidants and also provides anti-inflammatory support against heart disease and cancer. Beetroots helps detoxify the blood naturally because of its high antioxidant present in the beetroot. The lycopene in the tomatoes is proven to reduce the risk of prostate cancer and breast cancer. Try including it in your weekly diet for best results. You can have this as an early morning drink or as an evening drink at tea-time. People with kidney stones need to sparsely consume it (monthly once will be fine), because of the mineral salts in beets and tomato seeds. Note:More water in the beginning of juicing can hinder the process. Add water just enough to wet grind them. Serve with for a wholesome breakfast.Beetroot|Tomato|Cucumber|Ginger|Lemon juice|Coriander (Dhania) Leaves|Black Salt (Kala Namak)",1
"No act of kindness, no matter how small, is ever wasted.",0
In the end we retain from our studies only that which we practically apply.,0
"The Superior Man is aware of Righteousness, the inferior man is aware of advantage.",0
"Gajar Vadi Recipe - Maharashtrian Style Steamed Carrot Dumplingsis a popular savoury snack which ismade with gram flour, wheat flour and spices. In this recipe we have added grated carrots/gajar to make it a healthier. , making it a healthy and flavourful snack a favourite that can be sent as a snack in your kid's snack box. You can also serve Gajar Vadi as a snack at tea time or eat it as a side dish at lunch.    are rich in antioxidants, vitamins, dietary fiber and not to forget thevitamin A that aids in the health of your eyes. . Serve   with and for a light and healthy evening snack. If you like this recipe of Gajar Vadi,, here are some more Carrot recipes that you can try.Carrot (Gajjar)|Gram flour (besan)|Whole Wheat Flour|Red Chilli powder|Turmeric powder (Haldi)|Cumin powder (Jeera)|Sunflower Oil|Lemon juice|Sugar|Salt|Sunflower Oil|Sesame seeds (Til seeds)|Mustard seeds|Cumin seeds (Jeera)|Asafoetida (hing)|Curry leaves|Green Chilli",1
"S'mores Cake RecipeS'mores Cake Recipe is a 3 layered and just a 4 inch high mini cake that is made with the homemade graham crackers. This recipe also has Graham cracker cake and a homemade marshmallow fluff made to perfection. Prepare this cake recipe for the upcoming kids birthday party and watch it become an instant hit among kids. You can prepare the S'mores cake for the dinner parties that you hold at home as well, as a show shopping dessert and entertain your family and friends with! ServeS'mores Cake Recipe as a party dessert after a meal of or . If you like this recipe, try more recipes likeAll Purpose Flour (Maida)|Whole Wheat Flour|Butter (unsalted)|Brown Sugar (Demerara Sugar)|Honey|Molasses|Baking powder|All Purpose Flour (Maida)|Butter (unsalted)|Brown Sugar (Demerara Sugar)|Graham cracker crumbs|Milk|Whole Eggs|Baking powder|Dark chocolate|Heavy whipping cream|Egg white|Lemon juice|Caster Sugar|Water",1
From error to error one discovers the entire truth.,0
"Kashmiri Style Chicken Pulao Recipe  is an aromatic rice recipe that is tossed with whole spices and chicken. The rice is made in a pressure cooker by roasting some whole spices and then adding curd mixed spice powders. By adding curd, it will help the rice to have a nice soft texture. The garnish of cashew nuts and almonds add richness to the pulao. Serve the  along with ,  by the side so it will make a complete meal. If you are looking for more  here are some :Rice|Chicken breasts|Mace (Javitri)|Cinnamon Stick (Dalchini)|Cloves (Laung)|Mace (Javitri)|Ginger|Garlic|Onion|Red Chilli powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Black pepper powder|Cashew nuts|Whole Almonds (Badam)|Salt|Oil",1
Who sows virtue reaps honour.,0
"Aloo Vada Recipe - Batata Vada (Deep Fried Potato Patties)  also popularly known as   is a delectable potato pattie that is much savored during the Indian monsoons and is also a popular Indian street food favorite. In the recipe of Batata vada the boiled potatoes are spiced with green chillies and onions, then coated in a gram flour batter and deep fried, making this a delectable melt in the mouth tea time snack.  is one of the most addictive snacks that is eaten along with and or just plain old tomato ketchup. You could serve as is or sandwich it into a bun for lunch or make them into the famous If you like this recipe, you can also try other   that you can have during your tea time:Potatoes (Aloo)|Mustard seeds|Ginger|Onion|Green Chillies|Asafoetida (hing)|Turmeric powder (Haldi)|Sunflower Oil|Salt|Coriander (Dhania) Leaves|Gram flour (besan)|Turmeric powder (Haldi)|Salt",1
"Ginger Walnut ChutneyGinger Walnut Chutney is an amazing combination of ginger with walnuts, that is simply delicious. If you are looking for perfect tangy spicy chutney, the Ginger Walnut Chutney recipeis the one. Savor it with , , , spread it over a bread, a roll or just mix it with some hot rice and have some chutney rice. If you like this recipe, you can also try other Chutney Recipes such as :Ginger|Walnuts|Coriander (Dhania) Seeds|Methi Seeds (Fenugreek Seeds)|Cumin seeds (Jeera)|Whole Black Peppercorns|Tamarind|Jaggery|Curry leaves|Asafoetida (hing)|Salt",1
"Good thoughts are no better than good dreams, unless they be executed.",0
Problems are only opportunities with thorns on them.,0
"There is no need for temples, no need for complicated philosophies. My brain and my heart are my temples; my philosophy is kindness.",0
"      - Masoor Dal Aur Rajma Masala Recipe            .     ,              .                         .    ,                      ,      , |||| | ||  |  |||||",1
"    - Amritsari Sookhi Dal Recipe  ,                .    , , ,        .                   .               .                    ,          ()||| || ||  | | ||||| ",1
"    - Egg Pakora Recipe            .                                                       ,      ||  | |  |||",1
I can't imagine a person becoming a success who doesn't give this game of life everything hes got.,0
"Lahsuni Dal Tadka -Moong Dal with PumpkinTheLahsuni Dal Tadka is a quick, simple and wholesome dalflavored with garlic and spices. The addition of Pumpkin to the dal makes it filling and wholesome making it a perfect One Pot Dish for the busy weeknight dinners. Serve the Lahsuni Dal Tadka with Pumpkinalong with rice, accompanied with and . :The Dals, like other legumes, are a source of non-animal protein, as well as a rich source of dietary fiber and other nutrients. And Pumpkin is an extremely nutrient dense food, that has a chock-full of vitamins and minerals but low on calories. If you like this recipe, you can also try other Dal or Kadhi recipes such asArhar dal (Split Toor Dal)|Yellow Moong Dal (Split)|Masoor Dal (Whole)|Ginger|Green Chillies|Cinnamon Stick (Dalchini)|Bay leaves (tej patta)|Tomatoes|Kaddu (Parangikai/ Pumpkin)|Salt|Turmeric powder (Haldi)|Cumin seeds (Jeera)|Garlic|Dry Red Chillies",1
"    - Tamarind Chilli Potato Recipe      ,           .                 .              .    ,                   ,       ||  |||| || ||| ",1
"      - Bihari Kale Channe Ki Ghugni (Recipe In Hindi)        .             .                    . , ,            .               ,        .                           .        ,        ||   | || | |  | |  | |  || ||",1
The most formidable weapon against errors of every kind is reason.,0
"    - Kashmiri Dahi Baingan Recipe                 .                  .   ,                   ,      ,|  ||| | ||  | |",1
"Your vision will become clear only when you look into your heart. Who looks outside, dreams. Who looks inside, awakens.",0
Our deepest wishes are whispers of our authentic selves. We must learn to respect them. We must learn to listen.,0
Ignorant men don't know what good they hold in their hands until they've flung it away.,0
"Halloween Cup Cakes Recipe Topped With Chocolate GanacheIf you like this recipe, here are more cup cake recipes to tryWhole Eggs|Canola Oil|Milk|Brown Sugar (Demerara Sugar)|All Purpose Flour (Maida)|Whole Wheat Flour|Vanilla Extract|Nutmeg powder|Baking powder|Badam (Almond)|Salt|Chocolate ganache",1
"The less effort, the faster and more powerful you will be.",0
Anda Bhurji Recipe Anda bhurji is probably India's answer to the ever famous scrambled eggs. Sauteed onions and tomatoes combined with chillies and other spices make a delightful high protein breakfast. If you are rushed for time in the mornings then this is the recipe to make. You can pack it into your office lunch boxes with a tawa paratha and raita for a complete meal. Anda bhurji is also a popular street food and in Mumbai they are usually served along with a nice buttered pav. Serve the Anda bhurji for breakfast with buttered  and  or a wholesome and delicious lunch or dinner with a Other recipes that you can try are:Whole Eggs|Milk|Onions|Tomatoes|Green Chillies|Cumin seeds (Jeera)|Coriander (Dhania) Leaves|Salt,1
There are no limitations to the mind except those we acknowledge.,0
One today is worth two tomorrows.,0
"One Pot Tex-Mex Penne Pasta Recipe is a tasty and easy to make recipe that can be prepared in no time. It is best when you want to eat something delicious but is not really in the mood to spend most of your time in kitchen. Enjoy it during a weekend night with a glass of red wine. Serve   along with  or a for a weekend family dinner. If you like this recipe, you can also try other Pasta recipes such as :Penne pasta|Extra Virgin Olive Oil|Green Bell Pepper (Capsicum)|Onion|Garlic|Red Chilli powder|Paprika powder|Cumin powder (Jeera)|Garlic powder|Salt|Milk|Parmesan cheese|Parsley leaves",1
